Name,DSPDF,Description,MSDS,Status,Code,PDF
Glass Bead for Traffic Paint,http://www.safepigment.com/files/pdf/DS_GlassBead.pdf,"US DOT, CalTran approval",SDS,S,GB,http://www.safepigment.com/files/pdf/SDS_GlassBead.pdf
Iron Oxide - Micro,http://www.safepigment.com/files/pdf/DS_MicronizedIronOxideYellow.pdf,Yellow & Red,SDS,S,G313m & H130m,
Paraffin Wax,http://www.safepigment.com/files/pdf/DS_Fully-Refined-Wax.pdf,Fully Refined/Semi Refined,SDS,S,Wax,http://www.safepigment.com/files/pdf/SDS_Fully-Refined-Wax.pdf
Rosin Ester for Traffic Paint,,5% Caster Oil,SDS,S,RE38,http://www.safepigment.com/files/pdf/SDS_Rosin-Ester-Dr38CA.pdf
